resource,place,title,date
http://bnb.data.bl.uk/id/resource/013001764,http://sws.geonames.org/6269131/,The years,2004-12
http://bnb.data.bl.uk/id/resource/019599487,http://sws.geonames.org/6269131/,Mrs Dalloway,2020-01
http://bnb.data.bl.uk/id/resource/017816985,http://sws.geonames.org/6269131/,Mrs Dalloway,2016-05
http://bnb.data.bl.uk/id/resource/015711457,http://sws.geonames.org/6252001/,Mrs Dalloway,2011-04
http://bnb.data.bl.uk/id/resource/018460540,http://sws.geonames.org/6269131/,Orlando,2017-10
http://bnb.data.bl.uk/id/resource/018460544,http://sws.geonames.org/6269131/,A room of one's own,2017-10
http://bnb.data.bl.uk/id/resource/018460549,http://sws.geonames.org/6269131/,Mrs Dalloway,2017-10
http://bnb.data.bl.uk/id/resource/018460551,http://sws.geonames.org/6269131/,To the lighthouse,2017-10
http://bnb.data.bl.uk/id/resource/018462175,http://sws.geonames.org/6269131/,The illustrated letters of Virginia Woolf,2017-10
http://bnb.data.bl.uk/id/resource/018463437,http://sws.geonames.org/6252001/,Monday or Tuesday,2017-08
http://bnb.data.bl.uk/id/resource/019345275,http://sws.geonames.org/6269131/,A room of one's own,2019-06
http://bnb.data.bl.uk/id/resource/019428998,http://sws.geonames.org/6269131/,Flush,2019-08
http://bnb.data.bl.uk/id/resource/019701723,http://sws.geonames.org/6269131/,Jacob's room,2020-04
http://bnb.data.bl.uk/id/resource/018827821,http://sws.geonames.org/6269131/,Mrs Dalloway,2018-06
http://bnb.data.bl.uk/id/resource/018827843,http://sws.geonames.org/6269131/,To the lighthouse,2018-06
http://bnb.data.bl.uk/id/resource/018832597,http://sws.geonames.org/6269131/,A room of one's own,2018-06
http://bnb.data.bl.uk/id/resource/012936730,http://sws.geonames.org/6269131/,A room of one's own,2004-09
http://bnb.data.bl.uk/id/resource/016530866,http://sws.geonames.org/6269131/,Virginia Woolf : selected novels,2014-01
http://bnb.data.bl.uk/id/resource/006890884,http://sws.geonames.org/6252001/,Night and day,2002-06
http://bnb.data.bl.uk/id/resource/016094837,http://sws.geonames.org/6269131/,Virginia Woolf : selected novels,2012-09
http://bnb.data.bl.uk/id/resource/018519568,http://sws.geonames.org/6269131/,Between the acts,2017-07
http://bnb.data.bl.uk/id/resource/018934357,http://sws.geonames.org/6269131/,Virginia Woolf in Richmond,2018-09
http://bnb.data.bl.uk/id/resource/018009117,http://sws.geonames.org/6269131/,Selected diaries,2016-10
http://bnb.data.bl.uk/id/resource/019242375,http://sws.geonames.org/6269131/,The years,2019-04
http://bnb.data.bl.uk/id/resource/019280192,http://sws.geonames.org/6269131/,Between the acts,2019-05
http://bnb.data.bl.uk/id/resource/019280193,http://sws.geonames.org/6269131/,Selected short stories,2019-05
http://bnb.data.bl.uk/id/resource/019242373,http://sws.geonames.org/6269131/,Mrs Dalloway,2019-04
http://bnb.data.bl.uk/id/resource/019635379,http://sws.geonames.org/6252001/,Mrs. Dalloway,2020-02
http://bnb.data.bl.uk/id/resource/019049782,http://sws.geonames.org/6269131/,A passionate apprentice : the early journals 1897-1909,2018-11
http://bnb.data.bl.uk/id/resource/019394492,http://sws.geonames.org/6252001/,Night and day,2019-07
http://bnb.data.bl.uk/id/resource/019201393,http://sws.geonames.org/6269131/,Orlando,2019-03
http://bnb.data.bl.uk/id/resource/019201394,http://sws.geonames.org/6269131/,"A room of one's own ; and, Three guineas",2019-03
http://bnb.data.bl.uk/id/resource/019529568,http://sws.geonames.org/6269131/,Genius and ink : Virginia Woolf on how to read,2019-11
http://bnb.data.bl.uk/id/resource/019664287,http://sws.geonames.org/6269131/,Mrs Dalloway,2020-03
http://bnb.data.bl.uk/id/resource/019664288,http://sws.geonames.org/6269131/,A room of one's own,2020-03
http://bnb.data.bl.uk/id/resource/019664289,http://sws.geonames.org/6269131/,Orlando,2020-03
