lugarnacimientoLabel,author,authorLabel,idGND
Deensen,http://www.wikidata.org/entity/Q45245,Joachim Heinrich Campe,118518658
Deensen,http://www.wikidata.org/entity/Q45245,Joachim Heinrich Campe,116435704
Dörzbach,http://www.wikidata.org/entity/Q61443,Richard Ruoff,116708050
Dörzbach,http://www.wikidata.org/entity/Q61443,Richard Ruoff,1012388506
Koldenbüttel,http://www.wikidata.org/entity/Q57960,Christian Heinrich Friedrich Peters,116108193
Koldenbüttel,http://www.wikidata.org/entity/Q57960,Christian Heinrich Friedrich Peters,138754454
Frankfurt (Oder),http://www.wikidata.org/entity/Q63025,Robert von Puttkamer,116314338
Frankfurt (Oder),http://www.wikidata.org/entity/Q63025,Robert von Puttkamer,1143707672
Saarlouis,http://www.wikidata.org/entity/Q66828,Eduard von Knorr,116260424
Saarlouis,http://www.wikidata.org/entity/Q66828,Eduard von Knorr,1034929259
Wrocław,http://www.wikidata.org/entity/Q69712,Johann von Dallwitz,135729203
Wrocław,http://www.wikidata.org/entity/Q69712,Johann von Dallwitz,117617253
Grodno,http://www.wikidata.org/entity/Q69779,Robert Wartenberg,117566063
Grodno,http://www.wikidata.org/entity/Q69779,Robert Wartenberg,1012806251
Neuruppin,http://www.wikidata.org/entity/Q63976,Carl Großmann,129488135
Neuruppin,http://www.wikidata.org/entity/Q63976,Carl Großmann,139540385
Landshut,http://www.wikidata.org/entity/Q64326,"Louis III, Duke of Bavaria",136720706
Landshut,http://www.wikidata.org/entity/Q64326,"Louis III, Duke of Bavaria",13795638X
Chemnitz,http://www.wikidata.org/entity/Q73765,Ludwig Wolff,141326425
Chemnitz,http://www.wikidata.org/entity/Q73765,Ludwig Wolff,1028777515
Oldenburg,http://www.wikidata.org/entity/Q70047,Rudolf Heinze,117513695
Oldenburg,http://www.wikidata.org/entity/Q70047,Rudolf Heinze,124349471
Bad Cannstatt,http://www.wikidata.org/entity/Q74596,Thaddäus Troll,107602830
Bad Cannstatt,http://www.wikidata.org/entity/Q74596,Thaddäus Troll,1058182927
Frankfurt am Main,http://www.wikidata.org/entity/Q72604,Richard Kauffmann,118984640
Frankfurt am Main,http://www.wikidata.org/entity/Q72604,Richard Kauffmann,1025372220
Poznań,http://www.wikidata.org/entity/Q72748,Heinrich von Brandt,120745992
Poznań,http://www.wikidata.org/entity/Q72748,Heinrich von Brandt,117627267
Dresden,http://www.wikidata.org/entity/Q77308,Hieronymous Theodor Richter,116513004
Dresden,http://www.wikidata.org/entity/Q77308,Hieronymous Theodor Richter,117532193
Barbing,http://www.wikidata.org/entity/Q77449,Jakob Frohschammer,118693840
Barbing,http://www.wikidata.org/entity/Q77449,Jakob Frohschammer,116840439
Freiburg im Breisgau,http://www.wikidata.org/entity/Q84663,Alexander Ecker,118687670
Freiburg im Breisgau,http://www.wikidata.org/entity/Q84663,Alexander Ecker,1096204932
Gdańsk,http://www.wikidata.org/entity/Q85072,Wilhelm Joseph von Wasielewski,115359885
Gdańsk,http://www.wikidata.org/entity/Q85072,Wilhelm Joseph von Wasielewski,1143602978
Pforzheim,http://www.wikidata.org/entity/Q86386,George of Baden,137807503
