lugarnacimientoLabel,author,authorLabel,idGND
Barcelona,http://www.wikidata.org/entity/Q3257558,Lluis Nicolau d'Olwer,104271000
Barcelona,http://www.wikidata.org/entity/Q3257558,Lluis Nicolau d'Olwer,117728756
Pachuca,http://www.wikidata.org/entity/Q5829568,Elisa Vargaslugo Rangel,132343746
Pachuca,http://www.wikidata.org/entity/Q5829568,Elisa Vargaslugo Rangel,141341459
Lima,http://www.wikidata.org/entity/Q8209286,Aurelio Miró Quesada Sosa,1057050415
Lima,http://www.wikidata.org/entity/Q8209286,Aurelio Miró Quesada Sosa,118911821
Toluca Municipality,http://www.wikidata.org/entity/Q18416216,Margarita García Luna Ortega,1056727799
Toluca Municipality,http://www.wikidata.org/entity/Q18416216,Margarita García Luna Ortega,1046657275
Puebla,http://www.wikidata.org/entity/Q27720257,Carmen Wenzel,1029604703
Puebla,http://www.wikidata.org/entity/Q27720257,Carmen Wenzel,174287747
Mexico City,http://www.wikidata.org/entity/Q28028537,Ángel Bassols Batalla,126003106
Mexico City,http://www.wikidata.org/entity/Q28028537,Ángel Bassols Batalla,1089106270
NA,http://www.wikidata.org/entity/Q84735120,Nelida Abarca,1162447036
NA,http://www.wikidata.org/entity/Q84735120,Nelida Abarca,143160273
